id,Exited
165034,0.015
165035,0.478
165036,0.111
165037,0.249
165038,0.366
165039,0.052
165040,0.106
165041,0.121
165042,0.572
165043,0.028
165044,0.086
165045,0.172
165046,0.012
165047,0.171
165048,0.536
165049,0.079
165050,0.052
165051,0.2
165052,0.097
165053,0.265
165054,0.041
165055,0.151
165056,0.231
165057,0.038
165058,0.324
165059,0.381
165060,0.694
165061,0.248
165062,0.171
165063,0.137
165064,0.047
165065,0.084
165066,0.125
165067,0.211
165068,0.146
165069,0.035
165070,0.403
165071,0.112
165072,0.308
165073,0.604
165074,0.347
165075,0.481
165076,0.128
165077,0.045
165078,0.265
165079,0.297
165080,0.032
165081,0.023
165082,0.018
165083,0.389
165084,0.123
165085,0.028
165086,0.067
165087,0.222
165088,0.141
165089,0.192
165090,0.3
165091,0.07
165092,0.065
165093,0.065
165094,0.059
165095,0.301
165096,0.168
165097,0.237
165098,0.075
165099,0.024
165100,0.623
165101,0.016
165102,0.091
165103,0.09
165104,0.253
165105,0.433
165106,0.366
165107,0.094
165108,0.046
165109,0.34
165110,0.053
165111,0.175
165112,0.198
165113,0.136
165114,0.104
165115,0.052
165116,0.339
165117,0.169
165118,0.33
165119,0.236
165120,0.315
165121,0.351
165122,0.24
165123,0.118
165124,0.401
165125,0.094
165126,0.05
165127,0.066
165128,0.078
165129,0.058
165130,0.075
165131,0.034
165132,0.171
165133,0.32
165134,0.049
165135,0.17
165136,0.026
165137,0.351
165138,0.557
165139,0.467
165140,0.341
165141,0.102
165142,0.027
165143,0.26
165144,0.114
165145,0.192
165146,0.073
165147,0.217
165148,0.126
165149,0.064
165150,0.059
165151,1.0
165152,0.345
165153,0.054
165154,0.134
165155,0.075
165156,0.049
165157,0.068
165158,0.51
165159,0.209
165160,0.047
165161,0.118
165162,0.481
165163,0.056
165164,0.058
165165,0.14
165166,1.0
165167,0.036
165168,0.066
165169,0.207
165170,0.145
165171,0.32
165172,0.204
165173,0.134
165174,0.07
165175,0.241
165176,0.136
165177,0.098
165178,0.208
165179,0.411
165180,0.078
165181,1.0
165182,0.3
165183,0.051
165184,0.232
165185,0.107
165186,0.025
165187,0.249
165188,1.0
165189,0.047
165190,0.023
165191,0.096
165192,0.348
165193,0.267
165194,0.217
165195,0.431
165196,0.131
165197,0.5
165198,0.534
165199,0.044
165200,0.25
165201,0.495
165202,0.547
165203,1.0
165204,0.453
165205,0.141
165206,0.292
165207,0.075
165208,0.102
165209,0.158
165210,0.667
165211,1.0
165212,0.045
165213,0.033
165214,0.676
165215,0.312
165216,0.231
165217,0.03
165218,0.045
165219,0.585
165220,0.132
165221,0.182
