id,Exited
165034,0.03743736300002364
165035,0.5849529150794445
165036,0.13501597860097933
165037,0.1888573755434885
165038,0.4448347245190241
165039,0.06571162511350986
165040,0.08230003555874602
165041,0.15481358453222477
165042,0.5102249917144721
165043,0.038516423310036164
165044,0.11190935511354053
165045,0.1155000104342009
165046,0.03386783380565763
165047,0.19598449992303946
165048,0.6300369913021985
165049,0.10655559232239999
165050,0.04692508560407371
165051,0.24086955250043948
165052,0.06834433493422429
165053,0.132590959846163
165054,0.062072768031002416
165055,0.10201934006506626
165056,0.16819080016823398
165057,0.04275587855025943
165058,0.5693496067824567
165059,0.1746133105688975
165060,0.7588385044159434
165061,0.1859732083679763
165062,0.16713728613498535
165063,0.18950061168225654
165064,0.0671173870162615
165065,0.1009585810467545
165066,0.09598049704980506
165067,0.1620049458771793
165068,0.07389128740938414
165069,0.04383987079859344
165070,0.5149189689604071
165071,0.13016178853104443
165072,0.11991953079764377
165073,0.8318524182672843
165074,0.4282504608214286
165075,0.2265869706659935
165076,0.26503252092724233
165077,0.04847935595849246
165078,0.31535888293202874
165079,0.32777373560630363
165080,0.05627719839974367
165081,0.039053532541220605
165082,0.02854409094209359
165083,0.4692394378535966
165084,0.16092278493390716
165085,0.03712678355316562
165086,0.0543462584950388
165087,0.2586078189135882
165088,0.09883642955307456
165089,0.12237021276120832
165090,0.12247334803705659
165091,0.06304415822343579
165092,0.08667157897677567
165093,0.09820605317234718
165094,0.05218987913036812
165095,0.19548655271359872
165096,0.13449010290076363
165097,0.18235286111847737
165098,0.06693716886893242
165099,0.050964399203553196
165100,0.7551581893709276
165101,0.0542556024560637
165102,0.08456904939601391
165103,0.06641078038684964
165104,0.16334509427343225
165105,0.5386477567899043
165106,0.48168825355957096
165107,0.1370080855842877
165108,0.046983290946776494
165109,0.597863448850394
165110,0.05651942114086495
165111,0.1961091068274718
165112,0.21710463494080845
165113,0.09215660022543697
165114,0.07618480066766604
165115,0.08053818925633548
165116,0.40083294179559886
165117,0.1080992353769999
165118,0.226659327775346
165119,0.22193170387596248
165120,0.1360848117453303
165121,0.37052971178809657
165122,0.1850066255113807
165123,0.08411855621148592
165124,0.3370714565086074
165125,0.049717645360485424
165126,0.053513441741756436
165127,0.06077754503847005
165128,0.06287566715322863
165129,0.055694341396927215
165130,0.08249645915592056
165131,0.03177248526281231
165132,0.3155622631998194
165133,0.15804927611828593
165134,0.05184121505494165
165135,0.18017435974800908
165136,0.03339402579851912
165137,0.4255518319887696
165138,0.6379912892325605
165139,0.7305686331463381
165140,0.21016586216119032
165141,0.11077171882805821
165142,0.03801483370317529
165143,0.13432122833420063
165144,0.22520978970925723
165145,0.42348531646507004
165146,0.11412540310110826
165147,0.1529369465915848
165148,0.14856995949436905
165149,0.08773105694200076
165150,0.051726161968400804
165151,0.7895239282772992
